# Blind-spot seed FENs v1 (2026-07-03, curated 07-04). fen_before of the first
# decisive collapse in on-board losses: Cheese 3.2.1 June 15-16 (iter520 net) +
# rofChade June 1 — the panel-v2-only decision points (net to move).
# DELIBERATE HOLDOUT: panel v1's 35 rows (ckpt150-era Cheese losses) are
# EXCLUDED so the frozen v1 panel measures GENERALIZATION of seeding.
# CURATED: single-legal-move (forced) and claim-draw-terminal positions removed
# — they yield no net decision/training record (Codex review on PR #108).
# Seeded via opening_fen_list_path / opening_fen_prob (selfplay/opening.py).
r3k2r/pp1n1ppp/1qpbpn2/8/3P1BbN/2N5/PPP2QPP/R3KB1R w KQkq - 6 12
r1b1k1nr/ppp2ppp/2nq4/1B1pp3/Qb6/2P1P3/P2P1PPP/RNB1K1NR b KQkq - 0 6
1n1qr1k1/R1p2ppn/3p3p/3Pp3/1PP1N3/1N2Q2P/5PP1/6K1 b - - 0 22
rnb2rk1/pp1p1ppp/1q2p3/2pnP3/1b3P2/5NP1/PBPPQ2P/RN2KB1R w KQ - 1 9
r4rk1/pb1pbppp/nqn1p3/1B2P3/Q2P1P2/P4NP1/3N3P/R1B2RK1 b - - 2 14
rnb2rk1/1p2q3/p1pp4/3P4/3P3p/2QBp1p1/PP4P1/1K2R2R w - - 0 21
6R1/4Kp1k/4b2p/8/8/3r4/6RP/8 b - - 11 50
6k1/p7/8/6K1/3R3p/P6P/5rP1/8 b - - 0 42
1r2r3/p4ppp/3k4/3pb3/2pN4/1PNbPP2/P2K2PP/2R4R w - - 6 22
8/5kp1/1p3p2/2pp3r/P1b5/2P1PN1P/1B2nP1K/4R3 w - - 0 29
2bqkb1r/1p3ppp/2p5/2np4/rBPP4/N3PN1P/2Q2PP1/R3KB1R b KQk - 0 15
r1b1kbnr/1p3p1p/p3p3/3pPp2/4q3/5N2/PP2K1PP/R1BQ1B1R w kq - 2 14
r5k1/pp2r1p1/2n2Q2/2p1p1Rq/4p1b1/2B1P3/P1PP3P/R3K3 w Q - 3 21
r6k/1b2bpp1/3np1B1/1P1qN3/2p2P2/8/1BQPR1PP/6K1 b - - 2 23
r1b1r1k1/1pq2ppp/p2p4/2pn1nQ1/8/3P1N2/PPP1BRPP/R1B3K1 w - - 7 16
1r4k1/6p1/3qp2p/p1p1bP2/1nP5/1K2BQ2/1P2B1PP/1RR5 b - - 1 27
4r1k1/4Pp2/7p/np5q/2pP2bR/P3P3/4n1PK/4Qr2 w - - 0 41
2r3k1/1q1pbp2/6p1/6P1/1n6/2N1P1R1/3P1P2/1Q2KB2 b - - 0 24
rnb2r2/p5pp/1kp5/1p6/3Pp3/1BP1N1QP/PPK3p1/R1B3q1 w - - 4 26
