roots,simulations,capacity,physical_capacity,sample,order,peak_rss_kib,process_seconds,coordinator_seconds,stdout_sha256,work_sha256
1,1,4096,4096,0,0,11324,0.018034366,0.0,070849af6bfa33e894bed1a605d7d4f684307b5005156eac56b92b39d848b85d,acb4631d7f835ee72277257488b133b2fae07116c9ad1fcd7acb04d7d2bdef32
1,1,4097,8192,0,1,13560,0.017843656,0.0,67d40078c791c33d9fff2661d9a70521c9e03ff3231ee90059241ff1fa5293a6,acb4631d7f835ee72277257488b133b2fae07116c9ad1fcd7acb04d7d2bdef32
1,1,8192,8192,0,2,13432,0.01761269,0.0,63e94750df0f29cec48f02850d2b0725a83a1022b0ee92b30761b33370847266,acb4631d7f835ee72277257488b133b2fae07116c9ad1fcd7acb04d7d2bdef32
1,1,16384,16384,0,3,11976,0.02751584,0.001,59cc13a9f7061d3d1958b5ca59b613a2db7fd6cfe9e141c4a20c8f36f8b791ba,acb4631d7f835ee72277257488b133b2fae07116c9ad1fcd7acb04d7d2bdef32
1,1,65536,65536,0,4,18412,0.019902546,0.001,f5cd9be2b40f642c99f05221b3dda7aef316b6f7f678b86e48cad07e0f719abb,acb4631d7f835ee72277257488b133b2fae07116c9ad1fcd7acb04d7d2bdef32
1,1,4097,8192,1,0,14096,0.018166729,0.001,be8a4d6d367430a186a679ae39cf2fd6564441d273afb36ca8823d719f9fc42f,acb4631d7f835ee72277257488b133b2fae07116c9ad1fcd7acb04d7d2bdef32
1,1,8192,8192,1,1,14096,0.018003425,0.0,63e94750df0f29cec48f02850d2b0725a83a1022b0ee92b30761b33370847266,acb4631d7f835ee72277257488b133b2fae07116c9ad1fcd7acb04d7d2bdef32
1,1,16384,16384,1,2,11984,0.017962742,0.0,e2313d506a7552a60578ff02647390699610b9eda2f425a568c75cecbb078741,acb4631d7f835ee72277257488b133b2fae07116c9ad1fcd7acb04d7d2bdef32
1,1,65536,65536,1,3,18504,0.019761267,0.001,f5cd9be2b40f642c99f05221b3dda7aef316b6f7f678b86e48cad07e0f719abb,acb4631d7f835ee72277257488b133b2fae07116c9ad1fcd7acb04d7d2bdef32
1,1,4096,4096,1,4,12132,0.023429025,0.001,b94afb52906573381f8fc233a8a360a67493cecdc6466652469e5f782a10b19f,acb4631d7f835ee72277257488b133b2fae07116c9ad1fcd7acb04d7d2bdef32
1,1,8192,8192,2,0,14100,0.027071467,0.0,63e94750df0f29cec48f02850d2b0725a83a1022b0ee92b30761b33370847266,acb4631d7f835ee72277257488b133b2fae07116c9ad1fcd7acb04d7d2bdef32
1,1,16384,16384,2,1,12108,0.021856595,0.0,e2313d506a7552a60578ff02647390699610b9eda2f425a568c75cecbb078741,acb4631d7f835ee72277257488b133b2fae07116c9ad1fcd7acb04d7d2bdef32
1,1,65536,65536,2,2,17516,0.027034465,0.001,f171d354c3a9294800980f23016731e6924fc3c7a38efc9477c4206a78cbddaf,acb4631d7f835ee72277257488b133b2fae07116c9ad1fcd7acb04d7d2bdef32
1,1,4096,4096,2,3,11416,0.017851871,0.001,b94afb52906573381f8fc233a8a360a67493cecdc6466652469e5f782a10b19f,acb4631d7f835ee72277257488b133b2fae07116c9ad1fcd7acb04d7d2bdef32
1,1,4097,8192,2,4,13592,0.017859025,0.0,67d40078c791c33d9fff2661d9a70521c9e03ff3231ee90059241ff1fa5293a6,acb4631d7f835ee72277257488b133b2fae07116c9ad1fcd7acb04d7d2bdef32
1,1,16384,16384,3,0,12012,0.017882852,0.0,e2313d506a7552a60578ff02647390699610b9eda2f425a568c75cecbb078741,acb4631d7f835ee72277257488b133b2fae07116c9ad1fcd7acb04d7d2bdef32
1,1,65536,65536,3,1,18580,0.018762295,0.001,f171d354c3a9294800980f23016731e6924fc3c7a38efc9477c4206a78cbddaf,acb4631d7f835ee72277257488b133b2fae07116c9ad1fcd7acb04d7d2bdef32
