phase,index,arm,size,steps,milliseconds,stdout_sha256
contract-generic,0,list,1,0,0,fab0d1bb110539c2ae956c945e9bf6b7a6b3ed4f96645b9b126fb56d73d08569
contract-generic,0,list,1,1,0,59503e7d632dff5e0e4c72463b08771ba11b4ba1a632985e857c5b836a362912
contract-generic,0,list,1,3,0,d0e5cbc3611364afcb4eaef68e0168af5d46e191046ee6b23881143530659239
contract-generic,0,list,3,0,0,9e57394064a8037640b485e8f8524a03363627bf90b06e69aca31d197c7e18d1
contract-generic,0,list,3,1,0,cbec1331dfd07b61574fcb085c7af2ebdba7b34d40bf7dea1991195bd45bbb39
contract-generic,0,list,3,7,0,1ff8fe614c2fd246ca8329205106698f1d438e0ca0fb9fbbd095207977a0da16
contract-generic,0,list,16,0,0,d982db84faf41b7393f137e804552e8e2c96d59885929fb0737c0d11dad41425
contract-generic,0,list,16,1,0,eaf1758a8871d5b8800a927d76f9f0790c65469dd01f08843284a89f9deed22d
contract-generic,0,list,16,33,0,c9df6a8b1dfa4322c8fea67077780ac9c33e2e4b57f75ad5264bbb7d8be48d0b
contract-generic,0,fifo,1,0,0,d3da0536d53c0879bea85790736c1a45d51ced5864afc1d84ba588b630d7ddcd
contract-generic,0,fifo,1,1,0,e881bafac738b36db75a7d6de5ca648a8511b150a7541ab568230e30a8f7a65b
contract-generic,0,fifo,1,3,0,10e1a61443db33db999d04737d5be008e38d410278dc396367bc00a15d305f70
contract-generic,0,fifo,3,0,0,3c44a3b0c3c88ae6ea08d9060dc838d8051bc54e2e49c300130d8a75fd3d2819
contract-generic,0,fifo,3,1,0,2f3d71d1f1f6c45a8e350fd113a3d8c0a10fac6bfb8c0cec1af70a66977b5a02
contract-generic,0,fifo,3,7,0,604e091b9d036fb9d9d1a071f9cd22fb7ecb545c1a1658b9da395cc4edb836dd
contract-generic,0,fifo,16,0,0,dda2df633fcda671eb482053fe1defed751f206d8ca9e640a9ac9286ad6d9b1c
contract-generic,0,fifo,16,1,0,084fd383f1086173fddb29095c59730a2d6a9fb2a449d31b28a3d9e3bb187515
contract-generic,0,fifo,16,33,0,5976e502cd8a2ca9f8296689e69869bab412a40ae3e11e7b1492ae0d1dc29570
contract-generic,0,ring,1,0,0,dbe9334af849743725abb5515d6d284eb7bac9eaac7f6bcab16967a3e9316d6c
contract-generic,0,ring,1,1,0,3a90d5a17d05c7643c7be5e0597ce0637251fd9481991a66ae0f6ae82f1234a8
contract-generic,0,ring,1,3,0,69389f2632d567147888cca35fba30e16063839c7162b227432d46b3c17862bd
contract-generic,0,ring,3,0,0,828844d9e5cbdd4b876eb95da8d8d486212a0709ff94ab3742ed1fc68ab3c892
contract-generic,0,ring,3,1,0,413e3dca254565231d193ea419cffbfd4ca3227b5fd52408e1ca7dfd28478aa2
contract-generic,0,ring,3,7,0,7f0a834682c647813ea83f83152e093cd25816e0433a02a5dd1cd1f798ace2f4
contract-generic,0,ring,16,0,0,db3be5d810f3790ef3f0619772fc5a9f9409325e69a62e1a9fd71816db7eee95
contract-generic,0,ring,16,1,0,22cca197a3df9c87bbbf732a0dae18b681c65a768ac3f6063a64ced25202ca43
contract-generic,0,ring,16,33,0,f4b36ee40c6ee2a486b6e0023e2ad5336d84d077685ee24fb33e5c2437bdd020
contract-ubsan,0,list,1,0,0,fab0d1bb110539c2ae956c945e9bf6b7a6b3ed4f96645b9b126fb56d73d08569
contract-ubsan,0,list,1,1,0,59503e7d632dff5e0e4c72463b08771ba11b4ba1a632985e857c5b836a362912
contract-ubsan,0,list,1,3,0,d0e5cbc3611364afcb4eaef68e0168af5d46e191046ee6b23881143530659239
contract-ubsan,0,list,3,0,0,9e57394064a8037640b485e8f8524a03363627bf90b06e69aca31d197c7e18d1
contract-ubsan,0,list,3,1,0,cbec1331dfd07b61574fcb085c7af2ebdba7b34d40bf7dea1991195bd45bbb39
contract-ubsan,0,list,3,7,0,1ff8fe614c2fd246ca8329205106698f1d438e0ca0fb9fbbd095207977a0da16
contract-ubsan,0,list,16,0,0,d982db84faf41b7393f137e804552e8e2c96d59885929fb0737c0d11dad41425
contract-ubsan,0,list,16,1,0,eaf1758a8871d5b8800a927d76f9f0790c65469dd01f08843284a89f9deed22d
contract-ubsan,0,list,16,33,0,c9df6a8b1dfa4322c8fea67077780ac9c33e2e4b57f75ad5264bbb7d8be48d0b
contract-ubsan,0,fifo,1,0,0,d3da0536d53c0879bea85790736c1a45d51ced5864afc1d84ba588b630d7ddcd
contract-ubsan,0,fifo,1,1,0,e881bafac738b36db75a7d6de5ca648a8511b150a7541ab568230e30a8f7a65b
contract-ubsan,0,fifo,1,3,0,10e1a61443db33db999d04737d5be008e38d410278dc396367bc00a15d305f70
contract-ubsan,0,fifo,3,0,0,3c44a3b0c3c88ae6ea08d9060dc838d8051bc54e2e49c300130d8a75fd3d2819
contract-ubsan,0,fifo,3,1,0,2f3d71d1f1f6c45a8e350fd113a3d8c0a10fac6bfb8c0cec1af70a66977b5a02
contract-ubsan,0,fifo,3,7,0,604e091b9d036fb9d9d1a071f9cd22fb7ecb545c1a1658b9da395cc4edb836dd
contract-ubsan,0,fifo,16,0,0,dda2df633fcda671eb482053fe1defed751f206d8ca9e640a9ac9286ad6d9b1c
contract-ubsan,0,fifo,16,1,0,084fd383f1086173fddb29095c59730a2d6a9fb2a449d31b28a3d9e3bb187515
contract-ubsan,0,fifo,16,33,0,5976e502cd8a2ca9f8296689e69869bab412a40ae3e11e7b1492ae0d1dc29570
contract-ubsan,0,ring,1,0,0,dbe9334af849743725abb5515d6d284eb7bac9eaac7f6bcab16967a3e9316d6c
contract-ubsan,0,ring,1,1,0,3a90d5a17d05c7643c7be5e0597ce0637251fd9481991a66ae0f6ae82f1234a8
contract-ubsan,0,ring,1,3,0,69389f2632d567147888cca35fba30e16063839c7162b227432d46b3c17862bd
contract-ubsan,0,ring,3,0,0,828844d9e5cbdd4b876eb95da8d8d486212a0709ff94ab3742ed1fc68ab3c892
contract-ubsan,0,ring,3,1,0,413e3dca254565231d193ea419cffbfd4ca3227b5fd52408e1ca7dfd28478aa2
contract-ubsan,0,ring,3,7,0,7f0a834682c647813ea83f83152e093cd25816e0433a02a5dd1cd1f798ace2f4
contract-ubsan,0,ring,16,0,0,db3be5d810f3790ef3f0619772fc5a9f9409325e69a62e1a9fd71816db7eee95
