case,async,pair,order,arm,repeats,work_sha256,repeat,wall_seconds,cpu_seconds,coordinator_seconds,stdout_sha256
single,False,0,0,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.068713822,0.068334,0.014,3ff76be0d80a55d2cfda6a49c2cb3dbbdb816c9e95f86470ee237f7061d22630
single,False,0,0,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.068521705,0.06813399999999999,0.014,24d744c07a775cd21aa869c4bd35227949ff8c4f28c13780fafa2b8d528ea545
single,False,0,0,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.080639891,0.08024499999999998,0.018,0b4f6f03c1d5d10ae11add37ea415d339f73942712f31bc96fc83b09687ffa0a
single,False,0,0,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.06832584,0.06793199999999994,0.014,7780c9fb34b33a5814aceba6786af01c95e7ade277acc68659f75a58904dfa18
single,False,0,0,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.069218121,0.06881500000000004,0.014,7780c9fb34b33a5814aceba6786af01c95e7ade277acc68659f75a58904dfa18
single,False,0,0,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.068028616,0.06762899999999994,0.014,1730be38c529dfc22a3689c8ae4f86ffab71be779c406926bbce1fb3263f6b15
single,False,0,1,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.069178383,0.06881100000000004,0.015,67f8aee76b52ada7414ef6ef5fd2e206f42a4346d87fc6dcf4411c6b4b74b9e3
single,False,0,1,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.086985735,0.08658499999999995,0.023,47949dc9f5400b66d92191be35b831046774977c063c3858e10de7bc0c9981d3
single,False,0,1,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.068871508,0.06846799999999997,0.015,96412b6a25d3c24c4b9e26f0681e12611eb42491e7145106fdfd54b56a704fe0
single,False,0,1,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.068932719,0.06854199999999996,0.015,fbd02f36bf6addc46fd423950c1924b350fb8c1cb1d6a6e0feb9c2d5a100c1bb
single,False,0,1,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.067588117,0.06721700000000003,0.015,cabe221e8e6048396f9eb87fa008e072b44ca5f5bcf0542e0dc1a0f922cedfc8
single,False,0,1,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.070012379,0.06961899999999993,0.015,fc8299872d3e804b2cf45352e3adc08c6c11c0432c6c7b41b6db6de041feadb4
single,False,1,0,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.068710974,0.06828699999999992,0.014,84f3b27cfb0225f75b075c676268001f781da51d47cb0662a4f7201263e47cde
single,False,1,0,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.068994705,0.06857299999999994,0.014,7062277c4e745f88da09e02be416af0e6524eb54b74c74ad3e4cbbecd9e7cb65
