case,arm,rounds,phase,pair,order,mode,milliseconds,input_sha256,stdout_sha256
chess-opening-hits,hash,0,contract,0,0,bmi2-popcnt,0,850901b59686e0df2093c2a9f5a0baf3a9916cf432133d85e80925ab6f24d737,4a540197cbafe6a698ef405227c728eda94162913569b746bbaaf79d4c2f50a0
chess-opening-hits,hash,1,contract,0,0,bmi2-popcnt,1,9acf1a4127281904debb092ca70203ee7abd506e40e65145277f8baf9fb38f9c,83b969035bb34f3316c5cd410741c02eb19f0404c1078978bd351ade7c86a80a
chess-opening-hits,hash,3,contract,0,0,bmi2-popcnt,0,793d418aa8c538cbaf76cd6b81fb6f2d8d623f1ad135028161f1be76c9adc97d,1744d161c42c879d77bc96552996145e175a8110eb1ef1812a1f139b4704e840
chess-opening-hits,scan,0,contract,0,0,bmi2-popcnt,0,850901b59686e0df2093c2a9f5a0baf3a9916cf432133d85e80925ab6f24d737,73f03005e6b37fe98f47dcac8a8c30149d361f7fc85f85448a9757419dd18b74
chess-opening-hits,scan,1,contract,0,0,bmi2-popcnt,1,9acf1a4127281904debb092ca70203ee7abd506e40e65145277f8baf9fb38f9c,156f4a0357d63865962d1e6a766d37333339a8add16b42ad87bc55c86e10f762
chess-opening-hits,scan,3,contract,0,0,bmi2-popcnt,1,793d418aa8c538cbaf76cd6b81fb6f2d8d623f1ad135028161f1be76c9adc97d,8473d491297c5982abddf28f182de28e1fa5c7b230761a5fa31f26c7af18e4d8
chess-opening-misses,hash,0,contract,0,0,bmi2-popcnt,0,6eb5fc748e8b18f6a89f99e7e7cce98da5a3ad863eb505d03a72ba6a3436935c,4a540197cbafe6a698ef405227c728eda94162913569b746bbaaf79d4c2f50a0
chess-opening-misses,hash,1,contract,0,0,bmi2-popcnt,0,c7d794be37558bbd02c0f31d3ede60d1fc1191383f5de0257aa4326e85620496,331bacc2b4f98badc504ae61b828d9021d0e4d75c83ae60fc7dc8e8ea4693650
chess-opening-misses,hash,3,contract,0,0,bmi2-popcnt,0,c0b4b54f60f6c849601690354ca28efe84b500e8c9319867821ec2fd130e8049,b35f6b856df4f0e92fedfa72fb6396caea940e64fb98ef901c17a668894f81b6
chess-opening-misses,scan,0,contract,0,0,bmi2-popcnt,0,6eb5fc748e8b18f6a89f99e7e7cce98da5a3ad863eb505d03a72ba6a3436935c,73f03005e6b37fe98f47dcac8a8c30149d361f7fc85f85448a9757419dd18b74
chess-opening-misses,scan,1,contract,0,0,bmi2-popcnt,1,c7d794be37558bbd02c0f31d3ede60d1fc1191383f5de0257aa4326e85620496,9c913ea18f8896dc382b35141f8812043beb3e20adbd2756fdab065ab3a672d6
chess-opening-misses,scan,3,contract,0,0,bmi2-popcnt,2,c0b4b54f60f6c849601690354ca28efe84b500e8c9319867821ec2fd130e8049,5c4b22e12eacc52a43bd5d89ac9ff37f0ed71cc4b3215fc1234f6ef7eb631267
chess-opening-churn,hash,0,contract,0,0,bmi2-popcnt,0,c13a6a5ec29e98c286d68f015934e4d1dc8c080ada3fe5426a89ab204d9869e8,4a540197cbafe6a698ef405227c728eda94162913569b746bbaaf79d4c2f50a0
chess-opening-churn,hash,1,contract,0,0,bmi2-popcnt,0,53e89c40a80de471e5ce08e5592e3e05835c12e18c94560fa15374738a6d5d77,98e250c248be98aa94261bdc4ac4396a7beabb7c0cb9870c33d1b4a30127b8eb
chess-opening-churn,hash,3,contract,0,0,bmi2-popcnt,1,0997f2c7e1abc0fd548cd2ff634c8b8e0036d7d22834138995464a42b645705a,8007c3346790ffbbc3c5dfe07647c2a43b9e4cb37682303df69c032aa989c421
chess-opening-churn,scan,0,contract,0,0,bmi2-popcnt,0,c13a6a5ec29e98c286d68f015934e4d1dc8c080ada3fe5426a89ab204d9869e8,73f03005e6b37fe98f47dcac8a8c30149d361f7fc85f85448a9757419dd18b74
