configuration,case,asynchronous,roots,semantic_sha256,events,nodes
matrix/c146-b1/fifo-equivalence.json,single,False,1,a15bc136529080cafd68138940696a8acab06b678e5ec698d612d59f86ef2ced,12,81
matrix/c146-b1/fifo-equivalence.json,mixed-three,False,3,522a0defe71b33d2fe94ef47a56ad1aa27a8b13b63caac9f3a4a4257913f8146,24,194
matrix/c146-b1/fifo-equivalence.json,mixed-sixteen,False,16,f8c9fc4675bb6e942cfd08e5d2067e8efbc65120ef5e23c16842cb256934b594,134,1069
matrix/c146-b1/fifo-equivalence.json,neural-cap,False,3,99f7d98edb933246655a601c81f8325045aa31bb563e53a6fd4e3cfb79abda8a,27,207
matrix/c146-b1/fifo-equivalence.json,terminal-only,False,2,ff84ec95e04785ddcbbe5f8a4f10d76fce93f589f883b9b10c1265072ab6ec05,1,2
matrix/c146-b1/fifo-equivalence.json,single,True,1,29ccdaa22aecee84310b2a0b29999e818551d8de70f3d765bbc2b0264fdb8073,12,81
matrix/c146-b1/fifo-equivalence.json,mixed-three,True,3,622c64ed3ecfa5e2bb13577a18cfd4ba593dde555a06e9d4b8af98400bbfec54,24,194
matrix/c146-b1/fifo-equivalence.json,mixed-sixteen,True,16,9aab85458f269b2a2957df446fb3094256f641122bdb3898c40b08f3a6668ed1,134,1069
matrix/c146-b1/fifo-equivalence.json,neural-cap,True,3,8eaff2a75dbc2f2a28d516dc1a49f8665fdc084da81be339465c1ccfb3bb7f6a,27,207
matrix/c146-b1/fifo-equivalence.json,terminal-only,True,2,8123a27025c1bc80d4bd208e6bc20f3bc6903541819bb10d49ea9e4ac33ad9ce,1,2
matrix/c146-b16/fifo-equivalence.json,single,False,1,cd2f7f0e07392b2d48400d524d25a9e2247a03d6395fb2944b3554c7038a3a6b,12,81
matrix/c146-b16/fifo-equivalence.json,mixed-three,False,3,dc3523c7fbea635ee2eb9c3c2c3698719eb2170b25d892c15923311beb585a0c,20,194
matrix/c146-b16/fifo-equivalence.json,mixed-sixteen,False,16,2a6c4a1b58e2d04c60c05ab87785394931f1a4e15058d47116d31750ab4193fe,94,1069
matrix/c146-b16/fifo-equivalence.json,neural-cap,False,3,f544e16b4dacf5596f7660b0075223be9206435a718940fcd0ffc22f53ab6af9,21,207
matrix/c146-b16/fifo-equivalence.json,terminal-only,False,2,ff84ec95e04785ddcbbe5f8a4f10d76fce93f589f883b9b10c1265072ab6ec05,1,2
matrix/c146-b16/fifo-equivalence.json,single,True,1,c115bb688d0f3e2c561fe563893ae7e9f6d4eae11cbb206576ebab14720fb06c,12,81
matrix/c146-b16/fifo-equivalence.json,mixed-three,True,3,5e13983e1857f04930278fa60a9d7c8d02cde03f3f5ed7815ad5a7b223bcb8ae,20,194
matrix/c146-b16/fifo-equivalence.json,mixed-sixteen,True,16,57bddf41e58430018716f671f90a2536ce2cd2f41ac4df61bb854fd0839feea8,94,1069
matrix/c146-b16/fifo-equivalence.json,neural-cap,True,3,b44f9f60158e5e0ec892ec21b79920909ed752a990bf74a505accf1e4c728b62,21,207
matrix/c146-b16/fifo-equivalence.json,terminal-only,True,2,8123a27025c1bc80d4bd208e6bc20f3bc6903541819bb10d49ea9e4ac33ad9ce,1,2
matrix/c146-b2/fifo-equivalence.json,single,False,1,96e61287159adc071589a9ff634a7847a15ca173e52cdab9ba60d1e4d1e2cabd,12,81
