case,async,pair,order,arm,repeats,work_sha256,repeat,process_seconds,coordinator_seconds,stdout_sha256
single,False,0,0,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.068295961,0.015,0b7cb5abf17d9cf126e7bde46fdc9a3dbb3b0c0a9d32dfdbd295c533c53a70bb
single,False,0,0,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.0671536,0.015,eafb2865b10c6e9370f9399877fa76183ef8a4a04011f3676558a7d1cf3b23d5
single,False,0,0,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.067079483,0.015,bae9b15ec92fc238d864e97f6272d34f4e12af1fe47b4a1648c9ae4d96bb3f25
single,False,0,0,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.070443587,0.015,80c52b17e12789a65912a677f79bec05f248f0ad132f254281d18088c4b08bef
single,False,0,0,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.079336164,0.017,5f68c3fde3eec66fa5ba2d473bfed883b4611922592603f79c84fe8df3095e14
single,False,0,0,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.070100678,0.017,46ce471efb2b5c7c194298a5c77670620d3dd60c21fa11406ecd67c5f1c69eb5
single,False,0,1,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.070797969,0.017,f49472358524e043a58a3204501289e5375777c5e96e4bd3459a7b46a0faf2dd
single,False,0,1,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.083988903,0.022,0ab9cb64671de0ea8dd5cbfbcd9a7ab58f3098218dbdbfb87c2ab9491c4ef6dd
single,False,0,1,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.066959328,0.014,24d744c07a775cd21aa869c4bd35227949ff8c4f28c13780fafa2b8d528ea545
single,False,0,1,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.067967138,0.014,3c0b6a117dab95799ca33ce4f8659730ee03452afdd81e09d735c757c2ac0b31
single,False,0,1,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.067939166,0.014,6dc265f0547166f2afada7e0077c46e996d713da515427b7205e8e9c5df0226a
single,False,0,1,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.066911058,0.015,2925e00622d83e9ddea1841ee296f4fc4a635a72d3b4452f33ecc216dc132900
single,False,1,0,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.068367274,0.014,24d744c07a775cd21aa869c4bd35227949ff8c4f28c13780fafa2b8d528ea545
single,False,1,0,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.068641426,0.014,6e081c1d78124c9720a6a4194419da338c07c7f3d65f395b1aed86680c28e746
single,False,1,0,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.067672398,0.014,577cda848c6d0caac3a7e8c209ce4ef1702e683bc11830fac8e086c5411a5e29
single,False,1,0,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.06758755,0.014,24d744c07a775cd21aa869c4bd35227949ff8c4f28c13780fafa2b8d528ea545
single,False,1,0,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.071804446,0.016,fe64a76dcfd4eb701160d4cd2b666b3f9c78116c23bec4f379721baf3f80cf4e
single,False,1,0,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.068706047,0.015,af3980dcf234b0119ca48b98ed68a4ed68805b48d994058b5ea6ddea88e1611d
single,False,1,1,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.067046421,0.014,cb7f38586c5df1ae027fd18da01c6faa6884b322964703ff302848df98ab1e21
single,False,1,1,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.069312959,0.017,8a9a5656451fadf36197f1cda50c80887f6217d85c8fab30dd381859a814cf9f
single,False,1,1,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.076767563,0.015,0b7cb5abf17d9cf126e7bde46fdc9a3dbb3b0c0a9d32dfdbd295c533c53a70bb
single,False,1,1,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.069550682,0.017,f49472358524e043a58a3204501289e5375777c5e96e4bd3459a7b46a0faf2dd
single,False,1,1,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.080075925,0.019,395d0f1d1bbb8e5f1eaac891866faf087bfc8a905cd8eb109594fa7b53e36fac
single,False,1,1,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.066141422,0.014,a7a1ec8a060dbf98078ccdead3489682680b2b27754634ee607744fef629e139
single,False,2,0,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.067482444,0.014,cb7f38586c5df1ae027fd18da01c6faa6884b322964703ff302848df98ab1e21
single,False,2,0,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.068131815,0.015,6f58bdc4acd2d16fe066d444a481b6a5172c29daf5be153c7173e721d74e4225
single,False,2,0,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.067454574,0.015,c88ef17ee3537471578dc4d5d5708aa664eaf3fed490a4348e9b55e8a3e7db82
single,False,2,0,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.066568529,0.015,eafb2865b10c6e9370f9399877fa76183ef8a4a04011f3676558a7d1cf3b23d5
