case,arm,rounds,phase,pair,order,mode,milliseconds,requests,moves,checksum,hits,fills,bypasses,peak_rss_kib,workload_sha256,input_sha256,stdout_sha256
warm-0pct-hits,direct,1,diagnostic,0,0,optimized,0,8,230,536319571,0,0,8,2224,fc6dddbaeaeea8ac283f8b2f6d566417015f823ca9b256701f3322315af94b9b,13d99b7511bc518faa58bd5044bfa7fa86f5319195b81d47046ea722b3a153d4,ae1c3ffc2cdeb515049219614e179d880e1cae3d312463b70b5f27cfaf7b38a8
warm-0pct-hits,direct,0,contract,0,0,optimized,0,0,0,0,0,0,0,2216,fc6dddbaeaeea8ac283f8b2f6d566417015f823ca9b256701f3322315af94b9b,f1456de6142a9f30c3263a4bed3d14748b175d814ae3db2b78091209038e9a04,723630e2fb22dac2bf22ec8e8897e789770e1df58c399869e0f4172278464da3
warm-0pct-hits,direct,3,contract,0,0,optimized,0,24,690,1017385041,0,0,24,2224,fc6dddbaeaeea8ac283f8b2f6d566417015f823ca9b256701f3322315af94b9b,2723702223aee0218ae59fc5b52eb0499588e6ad4a82fe0f9e6dd4bde01394bc,593d4216b1ede02736581614af33dda1962555b8384204d85daedbd9a52c297a
warm-0pct-hits,cached,1,diagnostic,0,0,optimized,0,8,230,536319571,0,0,8,2312,fc6dddbaeaeea8ac283f8b2f6d566417015f823ca9b256701f3322315af94b9b,31fd9fddecfdeb4c8d170d14e68217583b84dfa23a5838c8100dc13e5f08c165,62cb9ac6daf8f5c0cf82b24efa4871322e8f613443b42b688902ac48ac19a2c3
warm-0pct-hits,cached,0,contract,0,0,optimized,0,0,0,0,0,0,0,2228,fc6dddbaeaeea8ac283f8b2f6d566417015f823ca9b256701f3322315af94b9b,6dcb02466e9f87685f354d2c1125117e905fb71dadbd3bd2ed0ceb1730201338,af45e4142f130ca9096417698063f1985cb924b17e2b3249c81371de7cc6b3fd
warm-0pct-hits,cached,3,contract,0,0,optimized,0,24,690,1017385041,0,0,24,2372,fc6dddbaeaeea8ac283f8b2f6d566417015f823ca9b256701f3322315af94b9b,2bedfced329211c6bc725889a8a1ea0112e60ad4e37474c837d009f5d2ba8e1c,be53d510c79ef94d6bf4429ac1e264225e7cc66a3ce2934f5b87370f1b776fae
warm-25pct-hits,direct,1,diagnostic,0,0,optimized,0,8,230,536319571,0,0,8,2220,b234e71222b5b323924d4616ef58a884e5f77f8985a704458c378e4b32e76156,1b8ce2b5d89bda0fb59db3d16aee4780debb79ae5f54c116f4688d4019e7bef3,ae1c3ffc2cdeb515049219614e179d880e1cae3d312463b70b5f27cfaf7b38a8
warm-25pct-hits,direct,0,contract,0,0,optimized,0,0,0,0,0,0,0,2244,b234e71222b5b323924d4616ef58a884e5f77f8985a704458c378e4b32e76156,5ddacf996aa084b2ede773d54b335290cf491de70064e853e79f61c83b9f58b6,723630e2fb22dac2bf22ec8e8897e789770e1df58c399869e0f4172278464da3
warm-25pct-hits,direct,3,contract,0,0,optimized,0,24,690,1017385041,0,0,24,2260,b234e71222b5b323924d4616ef58a884e5f77f8985a704458c378e4b32e76156,53a86c82f645fb6c58401a6ee349e69761f73223709454355621506ee066af90,593d4216b1ede02736581614af33dda1962555b8384204d85daedbd9a52c297a
warm-25pct-hits,cached,1,diagnostic,0,0,optimized,0,8,230,536319571,2,0,6,2200,b234e71222b5b323924d4616ef58a884e5f77f8985a704458c378e4b32e76156,c04b4302d0a4417ee4dbfdb26b7dc3aa13cf92919c644045cf5057183b28060b,d80dca3bcd9bec216cd41ea9ec44602dee7b9c6eeb8f37c37060531e4613fb0b
warm-25pct-hits,cached,0,contract,0,0,optimized,0,0,0,0,0,0,0,2204,b234e71222b5b323924d4616ef58a884e5f77f8985a704458c378e4b32e76156,734cdd9933f79759d6c4b5f335c1d12cbca130a78fa971796a83f1ca1b1298ed,af45e4142f130ca9096417698063f1985cb924b17e2b3249c81371de7cc6b3fd
warm-25pct-hits,cached,3,contract,0,0,optimized,0,24,690,1017385041,6,0,18,2204,b234e71222b5b323924d4616ef58a884e5f77f8985a704458c378e4b32e76156,48ea0d15fdeee014f2b45214ffded52261a2530e75cdf1920c95e7d29ac026d8,44de01c954f5f2c03f8a03f52d2649ea04f9043a5fabdda0e4c99231c665aa5a
warm-50pct-hits,direct,1,diagnostic,0,0,optimized,0,8,230,536319571,0,0,8,2188,281244dc1022b4d4281e7c67e6d252a189b0675bf6f3a6239c112f5c7947d72d,dc51c8b7fa3863ba4495147a182d0801d9e06009684903e5529c1340b54018d4,ae1c3ffc2cdeb515049219614e179d880e1cae3d312463b70b5f27cfaf7b38a8
warm-50pct-hits,direct,0,contract,0,0,optimized,0,0,0,0,0,0,0,2216,281244dc1022b4d4281e7c67e6d252a189b0675bf6f3a6239c112f5c7947d72d,57dfddbf4fac37fcc9c635dc62882a83e63fa738c329cb9b20f9d3ce8ec32e28,723630e2fb22dac2bf22ec8e8897e789770e1df58c399869e0f4172278464da3
warm-50pct-hits,direct,3,contract,0,0,optimized,1,24,690,1017385041,0,0,24,2208,281244dc1022b4d4281e7c67e6d252a189b0675bf6f3a6239c112f5c7947d72d,3059003541fab07a5bf02c3b492aee6460653c7fd30f8db544d6ff2ea2f0b6b9,d9eab556f3935280a1d92886d77f5b66b2263776b85404d9071284d1336d27b5
warm-50pct-hits,cached,1,diagnostic,0,0,optimized,0,8,230,536319571,4,0,4,2316,281244dc1022b4d4281e7c67e6d252a189b0675bf6f3a6239c112f5c7947d72d,97d14a06578dc633d151ce68e766e9a7b98bc7f974abc6a58361f02d79f63118,aff9aa2d37f6bbfb9b4727da83a92e99196790a7a0e552c8f73824a4c493875c
warm-50pct-hits,cached,0,contract,0,0,optimized,0,0,0,0,0,0,0,2336,281244dc1022b4d4281e7c67e6d252a189b0675bf6f3a6239c112f5c7947d72d,25b06e746920d03205f031748eb4a29f1025739328530f626e4798d35306832d,af45e4142f130ca9096417698063f1985cb924b17e2b3249c81371de7cc6b3fd
warm-50pct-hits,cached,3,contract,0,0,optimized,0,24,690,1017385041,12,0,12,2340,281244dc1022b4d4281e7c67e6d252a189b0675bf6f3a6239c112f5c7947d72d,b17625f431e5a5b9ff20815ac514576d69f694b9ed124ca5b676cd67f90a13c3,d569c1027e57f5be75add3a0deaba4cf2042d61c653a7f25ce48ae17cdd66c74
warm-75pct-hits,direct,1,diagnostic,0,0,optimized,0,8,230,536319571,0,0,8,2208,43c77ec25f7df3aae48a0fbb2b22627ce3de887b470090a979033faff0b9efcd,c13f8aa68495a46beca738ddc5ae417b9a3ec4b0fde097465b013a7ed969427b,ae1c3ffc2cdeb515049219614e179d880e1cae3d312463b70b5f27cfaf7b38a8
warm-75pct-hits,direct,0,contract,0,0,optimized,0,0,0,0,0,0,0,2236,43c77ec25f7df3aae48a0fbb2b22627ce3de887b470090a979033faff0b9efcd,8ccb1b160c058a8f4bc19883cca165d0e6294061599e4adecce93d0dc200a62d,723630e2fb22dac2bf22ec8e8897e789770e1df58c399869e0f4172278464da3
warm-75pct-hits,direct,3,contract,0,0,optimized,0,24,690,1017385041,0,0,24,2212,43c77ec25f7df3aae48a0fbb2b22627ce3de887b470090a979033faff0b9efcd,0910a6fff00275609375e739f3c7970bf5382579ac57794576a91d8ed4ad899d,593d4216b1ede02736581614af33dda1962555b8384204d85daedbd9a52c297a
warm-75pct-hits,cached,1,diagnostic,0,0,optimized,0,8,230,536319571,6,0,2,2384,43c77ec25f7df3aae48a0fbb2b22627ce3de887b470090a979033faff0b9efcd,025d487c294bc63e41e5263f78a0966528bd89b06b4907926b2f1cda9acbcf90,c5d9b9e571be8f39fb90bd2343d1de09a5ed8d80011b75021d7dca1847fdb65b
warm-75pct-hits,cached,0,contract,0,0,optimized,0,0,0,0,0,0,0,2336,43c77ec25f7df3aae48a0fbb2b22627ce3de887b470090a979033faff0b9efcd,0f682ed1b9eb795a0ed60096fc4709f882698942b14714d6a960a3851d76c16a,af45e4142f130ca9096417698063f1985cb924b17e2b3249c81371de7cc6b3fd
warm-75pct-hits,cached,3,contract,0,0,optimized,0,24,690,1017385041,18,0,6,2316,43c77ec25f7df3aae48a0fbb2b22627ce3de887b470090a979033faff0b9efcd,ba455a54e26274c2d52c219db0a162ab5ca38269e146ffc6ded2ca3088293433,feda143e662f39877d19eef542ea16d5cedc5327002a5c7b92c4b50696a6c624
warm-100pct-hits,direct,1,diagnostic,0,0,optimized,0,8,230,536319571,0,0,8,2260,69e6825867261ec0c659012ac451057dce72b2b125c5ab8df6e23d0475af92ea,42f5c224fb4ef256d9226c78e889828f2dff87610c5bd5ab26512d9f4f405fe8,ae1c3ffc2cdeb515049219614e179d880e1cae3d312463b70b5f27cfaf7b38a8
warm-100pct-hits,direct,0,contract,0,0,optimized,0,0,0,0,0,0,0,2228,69e6825867261ec0c659012ac451057dce72b2b125c5ab8df6e23d0475af92ea,bb39e6585f8f1ee6dda3c93279e5779860d8271bad4fb972168b2d10a7e9a4d4,723630e2fb22dac2bf22ec8e8897e789770e1df58c399869e0f4172278464da3
warm-100pct-hits,direct,3,contract,0,0,optimized,0,24,690,1017385041,0,0,24,2220,69e6825867261ec0c659012ac451057dce72b2b125c5ab8df6e23d0475af92ea,a3600a23ffe4dfca91126019b99f6d11184154ab9a3e6515578a6661ee8b61c2,593d4216b1ede02736581614af33dda1962555b8384204d85daedbd9a52c297a
warm-100pct-hits,cached,1,diagnostic,0,0,optimized,0,8,230,536319571,8,0,0,2340,69e6825867261ec0c659012ac451057dce72b2b125c5ab8df6e23d0475af92ea,6f56a7ab05173176b7ac96425c81949cd2cc46aa71d0b8b8e650a89553cd6785,7e534c3de3e5ee80a7a235aff6bfdc10a547ae41c879ea2a88182842ccc265e5
warm-100pct-hits,cached,0,contract,0,0,optimized,0,0,0,0,0,0,0,2336,69e6825867261ec0c659012ac451057dce72b2b125c5ab8df6e23d0475af92ea,4080b5d5b2965f2f7226c4a8751e1b4fcdbf8528357ea455e6e0c68e49d30f5c,af45e4142f130ca9096417698063f1985cb924b17e2b3249c81371de7cc6b3fd
