case,arm,rounds,phase,pair,order,mode,milliseconds,input_sha256,stdout_sha256
random-8-hits,hash,0,contract,0,0,native,0,0a25afda35e7c3f55fb397eb741477b91afe6b39798080095e4e63997bc7302e,8ce2930c3e3101582b784cf77af665188831ab068f51a427c23b290d76c32cbd
random-8-hits,hash,1,contract,0,0,native,0,0b2ac9d6dc9898ec226dc9b7a8e6bf470ea9911b900e58fc81cd0c7d92057aa3,63aa53b7645a802f4ef6fe8c36d5c2bb17ff35d53c7d680d046a6a1e00c2f5c7
random-8-hits,hash,3,contract,0,0,native,0,4853ab7a2035da03b1ef1c16271aaae6e998dd109a710f704d055eb09361af50,e8a56d11f750a116678a4e4b85d540ca98da3f3ead4202c9ced298c8ae8c506a
random-8-hits,scan,0,contract,0,0,native,0,0a25afda35e7c3f55fb397eb741477b91afe6b39798080095e4e63997bc7302e,35b0d9eb5e30100afd84750054763e67b23260d0ed47239192f6fb687b6dba87
random-8-hits,scan,1,contract,0,0,native,0,0b2ac9d6dc9898ec226dc9b7a8e6bf470ea9911b900e58fc81cd0c7d92057aa3,1f0bfb3f1248a84093a952aa3fca3611116bef52e2376dd6bde1f99256f215d3
random-8-hits,scan,3,contract,0,0,native,0,4853ab7a2035da03b1ef1c16271aaae6e998dd109a710f704d055eb09361af50,0a04a44a6ed5b1b21fd90eb0385352604f8bb30c3fc61a4da52442713ee22e1f
random-8-misses,hash,0,contract,0,0,native,0,78d72f3a038ddb71b4f7af409eb89840d14c51e7d704a23b87e114eebb0bcdd1,8ce2930c3e3101582b784cf77af665188831ab068f51a427c23b290d76c32cbd
random-8-misses,hash,1,contract,0,0,native,0,c4b24250101d91c9ea0b74b28d35ba57d4101948295ddd91e63a6606398ac66e,1e6ee8d3828436bdc97f51b5aa6fa248af26674dd0358293bcdca102bc834ab2
random-8-misses,hash,3,contract,0,0,native,0,edd27df2820cca13597f40ddc4c095b302bf9128f8887347eec234b1b7b221d1,958c9cdb3ecd2953d52aaa5d256a13f611ae1e532598af8eb30684a4c8523459
random-8-misses,scan,0,contract,0,0,native,0,78d72f3a038ddb71b4f7af409eb89840d14c51e7d704a23b87e114eebb0bcdd1,35b0d9eb5e30100afd84750054763e67b23260d0ed47239192f6fb687b6dba87
random-8-misses,scan,1,contract,0,0,native,0,c4b24250101d91c9ea0b74b28d35ba57d4101948295ddd91e63a6606398ac66e,0a474bccb3492236d0fa82552e6a99cf6cde48cc8f235f1eb98af537ff18c23d
random-8-misses,scan,3,contract,0,0,native,0,edd27df2820cca13597f40ddc4c095b302bf9128f8887347eec234b1b7b221d1,4ac8f43a9979330971222b4f60b7889e922742e72cfd6ff543e1e4ac184eadf7
random-8-churn,hash,0,contract,0,0,native,0,2e95f26b92198fd0ea3c24132f4133e9597e8da437088b4a6e2004f0aed72d08,8ce2930c3e3101582b784cf77af665188831ab068f51a427c23b290d76c32cbd
random-8-churn,hash,1,contract,0,0,native,0,69cf44c4c35fc5c5c95ba01deec9d3aca1576b877c87ad7127a1354d15b221f2,28d171cde55d80b49d9c9a3f8e9b8b66f83c35eb2eec6c951d199929bb381f07
random-8-churn,hash,3,contract,0,0,native,0,530059531e6ab7ce316278e213c7381554485001f2eff9c1438b851e0aeff519,c37e92a4bb1607a3991f45fb6b75cde836b349f998132c16193ffa05eef7b9ed
random-8-churn,scan,0,contract,0,0,native,0,2e95f26b92198fd0ea3c24132f4133e9597e8da437088b4a6e2004f0aed72d08,35b0d9eb5e30100afd84750054763e67b23260d0ed47239192f6fb687b6dba87
random-8-churn,scan,1,contract,0,0,native,0,69cf44c4c35fc5c5c95ba01deec9d3aca1576b877c87ad7127a1354d15b221f2,97a89f85c905e700335927eeb316d90d5d9ec5155d7619939d0b48fe3a83ea30
random-8-churn,scan,3,contract,0,0,native,0,530059531e6ab7ce316278e213c7381554485001f2eff9c1438b851e0aeff519,7fc5ff91e193b6205c8500bdd2cfa471f0604c71c650903f498d3da3c3ba8edd
random-64-hits,hash,0,contract,0,0,native,0,8e2150ae25b61d0ff7f2c6b5a03e5c6be6e007a5378d330f63a221dd6f167b9f,3cd2757b88eef76b856f6fa49d7edbfe6b253a7bd37e0ec1d42538c5df88a900
random-64-hits,hash,1,contract,0,0,native,0,64144ba4af5955f36ae331d2608b9e0e0a0e79d40faf59e535f3fb2d923fef8f,8518229c5f49012e5e480171a1be9f69271ccc80c2c2f22c368d9c9dc9c1cec0
random-64-hits,hash,3,contract,0,0,native,0,1b130b8fa2e446467bbec164981c616d9429e5f9eea0705aaa6046101b10cb79,1c62cf02dbe099fa896fbeff9f8c327e3c9195a823785cc8c6d338f934416298
random-64-hits,scan,0,contract,0,0,native,0,8e2150ae25b61d0ff7f2c6b5a03e5c6be6e007a5378d330f63a221dd6f167b9f,7af05754803016015c365719d6113954bbf5bff4569d85bb5f06d76d671a4ecf
random-64-hits,scan,1,contract,0,0,native,0,64144ba4af5955f36ae331d2608b9e0e0a0e79d40faf59e535f3fb2d923fef8f,118edc04f59bb5fa762de269f54872bf53420f18f8c2125c212d0acd75b08baf
random-64-hits,scan,3,contract,0,0,native,0,1b130b8fa2e446467bbec164981c616d9429e5f9eea0705aaa6046101b10cb79,1dcf4514335ab6179d79a2d0dc59191c3cbfedf9a4fc1640fd7f66c14e3a4b87
random-64-misses,hash,0,contract,0,0,native,0,63d480c43fbc8eaf0af856c9ea458a53e4ef92f2ec72800bb10c370d077f6cef,3cd2757b88eef76b856f6fa49d7edbfe6b253a7bd37e0ec1d42538c5df88a900
random-64-misses,hash,1,contract,0,0,native,0,0c407c404d4d434fa13b56a657500d15b7667f3511aa8041b64f8c42bd76f0bf,336fa9e3711444332666540f23debf47c8a4e78cd95dfaeac093563eccf5140d
random-64-misses,hash,3,contract,0,0,native,0,36919c6f3d719824b124d6b1974af3f012e5fedf5c9af1c24d210a3c0e2099a4,5678706d7b73d2264bd1cdcca0be440be2dd731990bd3c58cbc71607d2e57a33
random-64-misses,scan,0,contract,0,0,native,0,63d480c43fbc8eaf0af856c9ea458a53e4ef92f2ec72800bb10c370d077f6cef,7af05754803016015c365719d6113954bbf5bff4569d85bb5f06d76d671a4ecf
